business_id,city,state,lat,long,price,checkins
wqu7ILomIOPSduRwoWp4AQ,Pittsburgh,PA,40.39114,-80.073788,1,38
8QlnAcjGE6dgfKTVoxrPvQ,Pittsburgh,PA,40.495167,-79.958717,2,5
8Nm_jcCYtMXYW0ODSHDiXA,Pittsburgh,PA,40.4400036,-80.0909106,3,9
_jsJFrAmFVPRio0eEVExbA,Pittsburgh,PA,40.492067,-80.06235,1,17
JX2gDf2uy2UGuKPpcKT-IA,Pittsburgh,PA,40.4940896,-80.0635357,1,4
udZJ8YgsHdqtFDQkyPTV1Q,Pittsburgh,PA,40.4876741,-80.055667,1,3
Rjx8GcWuCzfVsKC5iPIcQA,Pittsburgh,PA,40.4590742,-80.0769711,1,12
s74Tq6WKV1b91UFRr7ch7g,Pittsburgh,PA,40.4637827,-79.9319497,2,24
ZL6DNzyenFm9Kpz6uADlNg,Pittsburgh,PA,40.450249,-79.9145,2,43
BG4N0V93wml9kaU6YYRxRA,Pittsburgh,PA,40.458577,-79.921053,2,120
OcTG-KzDleuRub-pb6JS3Q,Pittsburgh,PA,40.4852544,-79.9259754,1,4
Y2p07YEC8xOsYTHWf0UxiA,Pittsburgh,PA,40.458497,-79.9246661,1,14
g58NW9q4F09wTMiI7EIjmg,Pittsburgh,PA,40.4653904,-79.9229971,1,17
Pu5uzlZ05pqVlx6LcZbfgw,Pittsburgh,PA,40.4588237,-79.9223818,2,9
83_p9vIqOq1TUIf3_GD7bA,Pittsburgh,PA,40.4748883,-79.9188657,1,237
Ts4xsKPU7FNPPZRj-nRjIg,Pittsburgh,PA,40.4583902,-79.9255146,2,615
UtWJ8NGMg-3z28s0RzlUoQ,Pittsburgh,PA,40.4579893,-79.9181411,1,18
bZcqORBnVApUA2-SEn7VEQ,Pittsburgh,PA,40.4588455683,-79.9184470786,1,17
YMEtEsUDQKOYJOcE5Fx3gQ,Pittsburgh,PA,40.4754755,-79.9196258,2,50
1IwQhGGOrVNGGQskR_3uLw,Pittsburgh,PA,40.4609626,-79.9265025,0,33
ZDKi3qsO8lSSogrIdbLJKg,Pittsburgh,PA,40.4605052,-79.9253403,1,36
B9C6j80ob0f1pwi1Cnnd1Q,Pittsburgh,PA,40.4582251,-79.9251182,2,31
wfCLz9-aeShbPB7CaTY-qQ,Pittsburgh,PA,40.4585106475,-79.9288301986,3,1327
2SwC8wqpZC4B9iFVTgYT9A,Pittsburgh,PA,40.458138,-79.924797,3,309
PzG0XmAmtXFs6Fdnubf41g,Pittsburgh,PA,40.464485,-79.935388,1,151
lHP5STO7aomlEQixH8m1aA,Pittsburgh,PA,40.4572561,-79.9253542,2,46
EPILrBqmgQxd-R1gZ1EWJg,Pittsburgh,PA,40.4472143,-79.9051228,1,4
-iVcmhjfq79QoTWzrb6pKg,Pittsburgh,PA,40.4481991,-79.8954753,2,381
l_Wey2YC6NvVUIH8vTygGg,Pittsburgh,PA,40.4578038,-79.9274383,2,49
XWLtYPhCpHht5Zn52zp3-Q,Pittsburgh,PA,40.446587,-79.902277,0,53
2PfavOTufsPCRdYm-bFcpw,Pittsburgh,PA,40.4115087,-79.9558863,1,475
qUeBDN0D8SC93KeAHhiL-g,Pittsburgh,PA,40.4216133,-79.9934293,4,93
LltDzuzRbAJbSrqD4JH-3A,Pittsburgh,PA,40.3919558,-79.9874081,2,3
VkqKyq09rDYMhFk5nElWWA,Pittsburgh,PA,40.393115,-79.986911,2,4
QIJa5h2d65Bgh82zct7c7A,Pittsburgh,PA,40.3886503,-79.9965975,1,20
PTkChuI3GPCw-ZL1Iph76A,Pittsburgh,PA,40.3922377,-79.997446,1,12
YRDKsBFYP7G0E8BLJKIkvA,Pittsburgh,PA,40.4531335,-80.0013672,2,115
IxQ1ATP_Wg_QujO9nywzcQ,Pittsburgh,PA,40.4551576,-79.999728,2,219
TyIsuojeKcTb4Acfg7xqew,Pittsburgh,PA,40.4541341,-79.9981189,1,11
oj8bMz76cKXQClpFTFNW9w,Pittsburgh,PA,40.4535473,-79.9992608,1,11
hBAcj7X5JHeX2hvmptwH-w,Pittsburgh,PA,40.4523049,-79.9981599,2,58
k1A8pNspBPinGDivxkuDSA,Pittsburgh,PA,40.4489884,-80.0088714,2,28
e5DtayybW4jbKcDBwEUmOQ,Pittsburgh,PA,40.452646,-79.993788,1,9
Z7HNl4Gz00cA0_wt0S-vSw,Pittsburgh,PA,40.4621686,-80.0190648,1,57
OjzR6hUYasFReo0vhVn0-w,Pittsburgh,PA,40.455167,-79.994957,2,32
6AnorAMPkTdSDbUkOoV1Rw,Pittsburgh,PA,40.4645128,-79.9823112,2,25
49nxzKLr2qQnLF58qo2p1w,Pittsburgh,PA,40.4550779,-79.9913252,1,3
q_BKmbdlYfQJroJVHfYMUQ,Pittsburgh,PA,40.4566092,-80.0015054,2,79
zq--BGVHu7_fb1VHEwg2ow,Pittsburgh,PA,40.4567347,-80.0106967,2,3
99WYCuBEsO7OUCDWbbrrew,Pittsburgh,PA,40.4500892,-80.0181629,1,20
cZl7-Um4HiJWFgDVmMan2Q,Pittsburgh,PA,40.4513311,-80.0010493,2,30
vMCCvnDU-Iz_D_pmbcMqzA,Pittsburgh,PA,40.4534897,-80.0012207,1,7
xMekAmDsCdhk21Buf9ucSQ,Pittsburgh,PA,40.4518432,-80.0067586,1,9
hUV4bjXE8Ijd-pDNr8S6mA,Pittsburgh,PA,40.455929,-80.0065429,1,6
Z101WZaISochG6g7tI2ZVw,Pittsburgh,PA,40.4480678,-80.0042395,2,149
Eixtf79t1_ZKaC-7J2kAWg,Pittsburgh,PA,40.4535915,-80.0008071,1,10
Z0OGW8PysysRXE0dR7QxQQ,Pittsburgh,PA,40.4562032,-80.0144357,2,19
5GS5sBSscgcex0IFTDL9Bg,Pittsburgh,PA,40.4459596592,-80.0169205774,0,81
fB7XYJYrTtchlTmzSQVMbQ,Pittsburgh,PA,40.4479264,-80.0044819,0,172
obAdXU3RULuUOww759_h_w,Pittsburgh,PA,40.481272,-80.041641,1,10
AAcw9y30cRuMo0oa8UBiIw,Pittsburgh,PA,40.4763098,-80.0311303,2,3
YUZVBdGmagwXV-yOhR-1GQ,Pittsburgh,PA,40.4851129,-80.0416964,2,12
OIL-eZX8d10jgWPLW-E7zA,Pittsburgh,PA,40.4810675,-80.0413982,1,14
N2DwycuZl95miWf39Yskaw,Pittsburgh,PA,40.4899802,-80.0182188,2,26
PSlOtPIo28BvWOzdLmRRRQ,Pittsburgh,PA,40.3959965,-80.0350383,1,14
7KjZ49Xrb6QWjnu5NlxzVw,Pittsburgh,PA,40.3948144,-80.034142,1,50
9NL2GL4jSPVj9SKijH5PqA,Pittsburgh,PA,40.3996765,-80.0434133,2,145
wan0X-oHpLgGTPXqaICZCw,Pittsburgh,PA,40.409125,-80.024957,1,14
QnyzlVMyx0Exri-Lay10cA,Pittsburgh,PA,40.3885629,-80.0493898,2,26
81sqVj0xHyJXGYT0ip5fmQ,Pittsburgh,PA,40.38892,-80.049921,2,8
Wn5bLgkx_S7W1q2TeoLL1g,Pittsburgh,PA,40.395289,-80.0348997,1,11
m61vZsAxmTEq3uiCjFjM8Q,Pittsburgh,PA,40.3942666,-80.0350906,1,73
WY6FFxpa6ztwDH5OhS6WDw,Pittsburgh,PA,40.3953847,-80.0349637,2,15
93UCt9OgWYmypZCpXtUu8g,Pittsburgh,PA,40.4127159,-80.0303354,1,133
LV_OCiR9rOHVHgdhbpqw2Q,Pittsburgh,PA,40.3884145,-80.0498073,1,26
cRv7pLvIe3eI0efndQBcLg,Pittsburgh,PA,40.4010646,-80.0434725,2,22
za5fND9-pXyVSk5rM28MsQ,Pittsburgh,PA,40.3930433,-80.0366408,0,6
ORTRrw3ClZ0Ld0LgY1H_5g,Pittsburgh,PA,40.3957953,-80.0335782,1,59
9aw0t0rlACKkMaxsX0KlKA,Pittsburgh,PA,40.3959782,-80.0464983,1,25
5Udv4CASAXB2eH66TefWPQ,Pittsburgh,PA,40.3897336,-80.0409102,2,151
2Igiyhi82R8_QaaPplRmCw,Pittsburgh,PA,40.396012,-80.034727,1,483
Cex2R008tMFg8R5fAtf77w,Pittsburgh,PA,40.3966306,-80.0357966,1,69
n7G2XFGvmS3duDJ4AzjKiQ,Pittsburgh,PA,40.420335,-80.030114,2,53
8tBfgYCI6Fz9xrSYCYCYXA,Pittsburgh,PA,40.420335,-80.030114,1,5
Tb7hQ37UFA2QFaMwjFieQw,Pittsburgh,PA,40.414716,-80.03063,0,8
21hqlWgjmNgW4pBZJDuziQ,Pittsburgh,PA,40.4100066,-80.0249876,1,21
qemCNgjeYGcFsRwxW9x4xw,Pittsburgh,PA,40.3886105,-80.0499034,2,134
iudRNo5Q8W7firUBYJEqQQ,Pittsburgh,PA,40.388527,-80.0495449,2,5
WxN-aV_puFazt3UGNLlw0A,Pittsburgh,PA,40.4315631,-79.8933854,2,6
2X5G4Ujq0s4Wfn4TC7gX0g,Pittsburgh,PA,40.432022,-79.893834,2,652
evIbqjnN4ePd9eT4L4WsIw,Pittsburgh,PA,40.4213571,-79.8975426,1,14
7lDNKKxMV84KIS1OVZOepw,Pittsburgh,PA,40.4325271,-79.8939064,0,11
XQ7elqSFIRogvqpiTZz-Wg,Pittsburgh,PA,40.432599,-79.894243,2,42
JL5B_s1EoN4zIru4JSw4Qg,Pittsburgh,PA,40.427135,-79.890649,1,45
D9sHwmqlNkrVxmX-057i1g,Pittsburgh,PA,40.4323844,-79.8939504,1,12
DzOPHyrG2XuVqKEvHCnN7w,Pittsburgh,PA,40.4175696,-79.8879525,1,39
_8xYpVdKMllhuuf4PIvq8w,Pittsburgh,PA,40.425271,-79.888584,2,58
K8Ebs8G1rwc3DBdznHvDxg,Pittsburgh,PA,40.42523807,-79.8883623271,1,10
h3la53L9-OX_HlfeAySh0Q,Pittsburgh,PA,40.4273028,-79.8886844,2,42
1vQLTKwmcmZXtNzfKEvMmA,Pittsburgh,PA,40.392287,-80.070269,3,75
hhNlQWaKqGbMPoeZHoL-IQ,Pittsburgh,PA,40.3906976,-80.070806,2,346
GEw1pLdbMlJecvQkKBIgSw,Pittsburgh,PA,40.3954394,-80.0657414,1,4
zvqxmVZgJ0XpJfb1Xn5jKQ,Pittsburgh,PA,40.3923379,-80.0662223,2,84
SgQYRICpMdWCmY7wM2Cmcw,Pittsburgh,PA,40.3932957,-80.0656653,2,63
m0QsJDntW1MrWCxBVFwuAg,Pittsburgh,PA,40.392802,-80.062098,2,12
uwiD9jxs09xxXG0by_xKuA,Pittsburgh,PA,40.392551,-80.061579,1,50
f0eAe5PZMy_MEvxEEBYAcQ,Pittsburgh,PA,40.3923379,-80.0662223,2,49
sNmQJQWEVGheCnw5Tf4Phg,Pittsburgh,PA,40.395932,-80.067397,2,103
jrSGpWnVJy8jqgN6XSC7Nw,Pittsburgh,PA,40.4168479,-80.0453929,3,16
EtnMSBRlMQWrdTla-jz9RA,Pittsburgh,PA,40.4356718,-80.0340934,1,34
KZXtzoI84iI1CEcAnD7OPA,Pittsburgh,PA,40.4210420362,-80.0501069554,2,95
zhQzX3CxM0tdBXwGUWmxGA,Pittsburgh,PA,40.441776,-80.047466,1,44
zpNGtjBlIkDq_PLGSCPlAg,Pittsburgh,PA,40.4198341,-80.0456525,2,154
